"","H","V","L","F","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"170",15,0.1,4.402,1.85,925,"H15_V0.1_L4.402_F1.85",160.9714,44.8567666666667,41.4584666666667,18.8776666666667,17.6290333333333,1.2486,1971.71083333333,114.265133333333,134.9605
"171",15,0.1,4.402,1.99,925,"H15_V0.1_L4.402_F1.99",160.959966666667,44.8763666666667,41.4193666666667,18.8773,17.6287,1.2486,1972.5406,114.262633333333,134.914433333333
"172",15,0.1,5.485,0.01,1176,"H15_V0.1_L5.485_F0.01",23.9137333333333,14.3151666666667,60.0051666666667,5.94633333333333,4.6977,1.2486,752.4493,36.8517,33.7565333333333
"173",15,0.1,5.485,0.15,1176,"H15_V0.1_L5.485_F0.15",25.8100666666667,14.9079,59.4019333333333,6.2587,5.0101,1.2486,793.6676,38.6921333333333,34.0259666666667
"174",15,0.1,5.485,0.25,1176,"H15_V0.1_L5.485_F0.25",28.265,15.6523333333333,58.5122666666667,6.68666666666667,5.43806666666667,1.2486,838.0666,41.1797,34.7109666666667
"175",15,0.1,5.485,0.4,1176,"H15_V0.1_L5.485_F0.4",33.2826666666667,17.0727,57.2296,7.55403333333333,6.30543333333333,1.2486,920.735933333333,46.1808333333333,36.6883666666667
"176",15,0.1,5.485,0.5,1176,"H15_V0.1_L5.485_F0.5",37.4052333333333,18.2448666666667,55.9526,8.22266666666667,6.97406666666667,1.2486,983.0296,49.9955,38.4297333333333
"177",15,0.1,5.485,0.65,1176,"H15_V0.1_L5.485_F0.65",46.5719333333333,20.5926333333333,53.6516666666667,9.51286666666667,8.26426666666667,1.2486,1106.975,57.3618,42.9542666666667
"178",15,0.1,5.485,0.75,1176,"H15_V0.1_L5.485_F0.75",56.1675666666667,22.8194666666667,51.4943333333333,10.6618,9.4132,1.2486,1219.58443333333,63.9522666666667,48.3571333333333
"179",15,0.1,5.485,0.85,1176,"H15_V0.1_L5.485_F0.85",69.8388666666667,25.7924333333333,49.8327,12.0992666666667,10.8506333333333,1.2486,1362.44893333333,72.3265333333333,57.5277333333333
"180",15,0.1,5.485,0.95,1176,"H15_V0.1_L5.485_F0.95",88.7048666666667,29.8369,47.3982333333333,13.8053666666667,12.5567666666667,1.2486,1532.33793333333,82.45,71.2520333333333
"181",15,0.1,5.485,1,1176,"H15_V0.1_L5.485_F1",99.9113,32.1928666666667,46.1559,14.7025,13.4538,1.2486,1623.4672,87.8968666666667,79.9251666666667
"182",15,0.1,5.485,1.05,1176,"H15_V0.1_L5.485_F1.05",111.383366666667,34.6393333333333,44.8952333333333,15.5878333333333,14.3392333333333,1.2486,1710.9736,93.3146,89.1105
"183",15,0.1,5.485,1.15,1176,"H15_V0.1_L5.485_F1.15",134.127333333333,39.4106333333333,42.8243,17.1946333333333,15.946,1.2486,1864.14476666667,103.367433333333,108.431766666667
"184",15,0.1,5.485,1.25,1176,"H15_V0.1_L5.485_F1.25",150.694466666667,42.9304666666667,41.6631666666667,18.2771,17.0285,1.2486,1955.40453333333,110.306566666667,123.705433333333
"185",15,0.1,5.485,1.35,1176,"H15_V0.1_L5.485_F1.35",158.502533333333,44.6248,41.0154333333333,18.7495333333333,17.5009333333333,1.2486,1988.67953333333,113.395866666667,131.3236
"186",15,0.1,5.485,1.5,1176,"H15_V0.1_L5.485_F1.5",160.800166666667,45.1838,40.7876,18.8713666666667,17.6227666666667,1.2486,2001.84926666667,114.224,133.475966666667
"187",15,0.1,5.485,1.6,1176,"H15_V0.1_L5.485_F1.6",160.786733333333,45.2147,40.7234333333333,18.8708333333333,17.6222,1.2486,2005.0997,114.2204,133.319933333333
"188",15,0.1,5.485,1.75,1176,"H15_V0.1_L5.485_F1.75",160.779633333333,45.2307666666667,40.6892333333333,18.8705,17.6219,1.2486,2007.19743333333,114.2184,133.220166666667
"189",15,0.1,5.485,1.85,1176,"H15_V0.1_L5.485_F1.85",160.783133333333,45.2210333333333,40.7076333333333,18.8706333333333,17.6220333333333,1.2486,2007.09836666667,114.219066666667,133.226533333333
"190",15,0.1,5.485,1.99,1176,"H15_V0.1_L5.485_F1.99",160.792733333333,45.1975333333333,40.7548,18.871,17.6224,1.2486,2005.41046666667,114.221333333333,133.308833333333
"191",15,0.25,0.466,0.01,105,"H15_V0.25_L0.466_F0.01",118.809,34.3995,44.9036333333333,16.6349666666667,15.3863666666667,1.2486,2113.4712,13.1339333333333,77.5849333333333
"192",15,0.25,0.466,0.15,105,"H15_V0.25_L0.466_F0.15",128.371133333333,36.3223,44.8519333333333,17.2036666666667,15.9550666666667,1.2486,2191.71263333333,13.5821666666667,85.5218
"193",15,0.25,0.466,0.25,105,"H15_V0.25_L0.466_F0.25",134.827266666667,37.6265,44.4536666666667,17.572,16.3234,1.2486,2241.87036666667,13.8726666666667,90.7774666666667
